Adam, Bielecki; Spod Zamarzniętych Powiek; 2015; sport, biografia; nie; 4
Artur, Hajzer; Atak Rozpaczy; 2015; sport, biografia; nie; 10
Shaquille, O'Neal; Shaq bez cenzury; 2010; sport, biografia; nie; 7
Rafał, Fronia; Anatomia Góry; 2018; sport, biografia; nie; 9
Rafał, Fronia; Anatomia Góry; 2018; sport, biografia; nie; 7
Stephen, King; Cmentarz Zwierząt; 2005; thriler, horror, dramat; nie; 8
Stephen, King; To; 1986; thriler, horror, dramat; nie; 10
Adam, Bielecki; Spod Zamarzniętych Powiek; 2015; sport, biografia; nie; 6
Stephen, King; The Outsider; 2018; kryminał, horror; nie; 1
Agatha, Christie; Dwanaście prac Herkulesa; 1995; kryminał, horror; nie; 0
Jimi, Hendrix; Oczami brata; 2009; muzyka;biografia; nie; 12
Stephen, King; To; 1986; thriler, horror, dramat; nie; 5
Matt, O'Reliy; Python. Uczenie maszynowe; 2017; nauka, programowanie; nie; 2
Anthony, Blatt; Jordan; 2018; sport, biografia; tak; 0
Rafał, Fronia; Anatomia Góry; 2018; sport, biografia; nie; 3
Jeremy, Hopkins; Athletics; 1992; sport, biografia; tak; 0
Earl, Hopkins; Everest; 2015; sport, biografia; nie; 0
Michael, Darwin; Java. Ćwiczenia z programowania.; 2012; programowanie, nauka, informatyka; nie; 0
